Buyer_Segment,count,pct_total,sale_price_mean,sale_price_median,sale_price_std,floor_area_sqft_mean,floor_area_sqft_median,floor_area_sqft_std,price_per_sqft_mean,price_per_sqft_median,price_per_sqft_std,investment_score_mean,investment_score_median,investment_score_std,satisfaction_score_mean,satisfaction_score_median,satisfaction_score_std,age_mean,age_median,age_std,loan_indicator_mean,loan_indicator_median,loan_indicator_std,unit_type_encoded_mean,unit_type_encoded_median,unit_type_encoded_std
Corporate Buyers,1981,27.1,260309.84,258950.34,66281.03,874.75,834.5,229.24,299.17,299.55,28.03,5.02,4.97,0.69,4.24,4.0,0.74,57.59,58.0,17.44,0.38,0.0,0.49,0.0,0.0,0.03
First-Time Buyers,2026,27.7,252549.22,240804.6,74328.08,855.49,793.56,254.07,296.53,296.89,28.49,3.44,3.48,0.7,1.74,2.0,0.75,55.1,56.0,16.99,0.35,0.0,0.48,0.03,0.0,0.17
Global Investors,1016,13.9,378891.42,370120.35,135724.34,1201.46,1196.32,409.08,315.7,313.99,34.55,5.48,5.41,1.5,3.13,3.0,1.38,56.85,57.0,17.15,0.38,0.0,0.48,1.0,1.0,0.0
Luxury Investors,2282,31.2,485740.04,482584.05,69101.74,1599.17,1610.37,199.52,304.52,303.96,28.74,6.51,6.5,0.98,3.15,3.0,1.35,56.42,57.0,17.26,0.36,0.0,0.48,0.0,0.0,0.0
